RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Mayor – City of Garland,"RACE_CANDIDATES    Mayor – City of Garland.3 - UNDER VOTES
RACE_CANDIDATES              Mayor – City of Garland.3 - 7
dtype: object",UNDER VOTES,7,Colin
"Council Member, At","RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
dtype: object",Michael Jones,159,Colin
"Council Member, At","RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
dtype: object",Tom Meredith,150,Colin
"Council Member, At","RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
dtype: object",Taiwo Ajunwon,150,Colin
"Council Member, At","RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
dtype: object",OVER VOTES,75,Colin
"Council Member, At","RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, At-Large No. 2 – City of McKin...
dtype: object",UNDER VOTES,93,Colin
"Council Member, District No 2 – City of McKinney","RACE_CANDIDATES    Council Member, District No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, District No. 2 – City of McKin...
dtype: object",Patrick J. Cloutier,31,Colin
"Council Member, District No 2 – City of McKinney","RACE_CANDIDATES    Council Member, District No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, District No. 2 – City of McKin...
dtype: object",Michael Silva,28,Colin
"Council Member, District No 2 – City of McKinney","RACE_CANDIDATES    Council Member, District No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, District No. 2 – City of McKin...
dtype: object",OVER VOTES,14,Colin
"Council Member, District No 2 – City of McKinney","RACE_CANDIDATES    Council Member, District No. 2 – City of McKin...
RACE_CANDIDATES    Council Member, District No. 2 – City of McKin...
dtype: object",UNDER VOTES,46,Colin
"Council Member, District No 4 – City of McKinney","RACE_CANDIDATES    Council Member, District No. 4 – City of McKin...
RACE_CANDIDATES    Council Member, District No. 4 – City of McKin...
dtype: object",Rick Franklin,36,Colin
"Council Member, District No 4 – City of McKinney","RACE_CANDIDATES    Council Member, District No. 4 – City of McKin...
RACE_CANDIDATES    Council Member, District No. 4 – City of McKin...
dtype: object",OVER VOTES,0,Colin
"Council Member, District No 4 – City of McKinney","RACE_CANDIDATES    Council Member, District No. 4 – City of McKin...
RACE_CANDIDATES    Council Member, District No. 4 – City of McKin...
dtype: object",UNDER VOTES,121,Colin
Proposition A – City of McKinney,"RACE_CANDIDATES    Proposition A – City of McKinney - FOR
RACE_CANDIDATES    Proposition A – City of McKinney - 159
dtype: object",FOR,159,Colin
Proposition A – City of McKinney,"RACE_CANDIDATES    Proposition A – City of McKinney.1 - AGAINST
RACE_CANDIDATES        Proposition A – City of McKinney.1 - 150
dtype: object",AGAINST,150,Colin
Proposition A – City of McKinney,"RACE_CANDIDATES    Proposition A – City of McKinney.2 - OVER VOTES
RACE_CANDIDATES            Proposition A – City of McKinney.2 - 75
dtype: object",OVER VOTES,75,Colin
Proposition A – City of McKinney,"RACE_CANDIDATES    Proposition A – City of McKinney.3 - UNDER VOTES
RACE_CANDIDATES            Proposition A – City of McKinney.3 - 243
dtype: object",UNDER VOTES,243,Colin
Mayor City of Murphy,"RACE_CANDIDATES    Mayor City of Murphy - Scott Bradley
RACE_CANDIDATES               Mayor City of Murphy - 16
dtype: object",Scott Bradley,16,Colin
Mayor City of Murphy,"RACE_CANDIDATES    Mayor City of Murphy.1 - OVER VOTES
RACE_CANDIDATES             Mayor City of Murphy.1 - 0
dtype: object",OVER VOTES,0,Colin
Mayor City of Murphy,"RACE_CANDIDATES    Mayor City of Murphy.2 - UNDER VOTES
RACE_CANDIDATES             Mayor City of Murphy.2 - 50
dtype: object",UNDER VOTES,50,Colin
"Council Member, Place 3 – City of Murphy","RACE_CANDIDATES    Council Member, Place 3 – City of Murphy - W. ...
RACE_CANDIDATES        Council Member, Place 3 – City of Murphy - 18
dtype: object",W. Scott Smith,18,Colin
"Council Member, Place 3 – City of Murphy","RACE_CANDIDATES    Council Member, Place 3 – City of Murphy.1 - A...
RACE_CANDIDATES      Council Member, Place 3 – City of Murphy.1 - 16
dtype: object",Andrew Chase,16,Colin
"Council Member, Place 3 – City of Murphy","RACE_CANDIDATES    Council Member, Place 3 – City of Murphy.2 - O...
RACE_CANDIDATES       Council Member, Place 3 – City of Murphy.2 - 8
dtype: object",OVER VOTES,8,Colin
"Council Member, Place 3 – City of Murphy","RACE_CANDIDATES    Council Member, Place 3 – City of Murphy.3 - U...
RACE_CANDIDATES      Council Member, Place 3 – City of Murphy.3 - 24
dtype: object",UNDER VOTES,24,Colin
"Council Member, Place 5 – City of Murphy","RACE_CANDIDATES    Council Member, Place 5 – City of Murphy - Lau...
RACE_CANDIDATES        Council Member, Place 5 – City of Murphy - 18
dtype: object",Laura Deel,18,Colin
